00:0F:F7:B6:86:B,00:0F:F7:B6:86:B0,-10.1263099801,-82.9663086869,[-77]
00:0F:F7:B6:86:B,00:0F:F7:B6:86:B1,-10.1263099801,-82.9663086869,[-76]
00:24:C4:1A:B8:3,00:24:C4:1A:B8:31,-10.1263099801,-82.9663086869,[-65]
DC:9F:DB:FC:39:C,DC:9F:DB:FC:39:C1,-10.1263099801,-82.9663086869,[-81]
DC:9F:DB:FC:39:C,DC:9F:DB:FC:39:C0,-10.1263099801,-82.9663086869,[-83]
DC:9F:DB:FC:39:A,DC:9F:DB:FC:39:A1,-10.1263099801,-82.9663086869,[-93]
DC:9F:DB:FC:39:A,DC:9F:DB:FC:39:A0,-10.1263099801,-82.9663086869,[-92]
00:11:21:E0:CD:1,00:11:21:E0:CD:10,-10.1263099801,-82.9663086869,[-77]
00:24:C4:2D:60:B,00:24:C4:2D:60:B0,-10.1263099801,-82.9663086869,[-66]
00:24:C4:2D:60:B,00:24:C4:2D:60:B1,-10.1263099801,-82.9663086869,[-66]
00:12:DA:CB:97:3,00:12:DA:CB:97:31,-10.1263099801,-82.9663086869,[-76]
00:12:DA:CB:97:3,00:12:DA:CB:97:30,-10.1263099801,-82.9663086869,[-78]
48:5B:39:E7:4E:4,48:5B:39:E7:4E:4E,-10.1263099801,-82.9663086869,[-88]
00:11:21:E0:AE:C,00:11:21:E0:AE:C0,-10.1263099801,-82.9663086869,[-75]
00:12:DA:CB:9C:5,00:12:DA:CB:9C:51,-10.1263099801,-82.9663086869,[-71]
00:24:97:84:FF:A,00:24:97:84:FF:A0,-10.1263099801,-82.9663086869,[-70]
00:24:97:84:FF:A,00:24:97:84:FF:A1,-10.1263099801,-82.9663086869,[-69]
00:25:53:87:4F:6,00:25:53:87:4F:64,-10.1263099801,-82.9663086869,[-74]
00:24:C4:2D:23:A,00:24:C4:2D:23:A0,-10.1263099801,-82.9663086869,[-72]
00:24:C4:2D:23:A,00:24:C4:2D:23:A1,-10.1263099801,-82.9663086869,[-75]
00:24:C4:2D:1E:0,00:24:C4:2D:1E:00,-10.1263099801,-82.9663086869,[-49]
00:24:C4:2D:1E:0,00:24:C4:2D:1E:01,-10.1263099801,-82.9663086869,[-49]
E8:99:C4:F7:28:1,E8:99:C4:F7:28:1A,-10.1263099801,-82.9663086869,[-78]
00:1D:68:F0:5F:C,00:1D:68:F0:5F:C5,-10.1263099801,-82.9663086869,[-83]
00:11:21:E0:BE:F,00:11:21:E0:BE:F0,-10.1263099801,-82.9663086869,[-76]
00:11:21:E0:BE:F,00:11:21:E0:BE:F1,-10.1263099801,-82.9663086869,[-76]
00:24:97:85:00:F,00:24:97:85:00:F0,-10.1263099801,-82.9663086869,[-70]
